,Aeu,Bab,Bal,Bfa,Bhy,Blu,Bra,Bse,Cal,Cca,Dbe,Dli,Del,Dgi,Dmc,Dmi,Dmu,Dna,Dwe,Eov,Esp1,Esp2,Ila,Lfs,Lfu,Llb,Llt,Lme,Lmy,Lpo,Ocu,Pat,Pce,Pcu,Pdi,Pma,Pmy,Pna,Ppl,Pte,Ptt,Ror,Rsc,Sal,Sar,Sbe,Sfs,Sfu,Sha,Sli,Spe,Spr,Ssi,Str,Sty,Tme,Tve,locality,hydroperiod,area,depth,lat,long,nvt,arbust_veg,arbor_veg,position_bi,dist_to_forest,position,canopy_cover,canopy_cover_cat,ecoregion
species_names,Aplastodiscus eugenioi,Boana albomarginata,Boana albopunctata,Boana Faber,Bokermannohyla hylax,Boana lundii,Boana raniceps,Boana semilineata,Chiasmocleis albopunctata,Chiasmocleis carvalhoi,Dendropsophus berthalutzae,Dendropsophus elianeae,Dendropsophus elegans,Dendropsophus giesleri,Dendropsophus microps,Dendropsophus minutus,Dermatonotus muelleri,Dendropsophus nanus,Dendropsophus Werneri,Elachistocleis ovalis,Elachistocleis sp1,Elachistocleis sp2,Itapotihyla langsdorffii,Leptodactylus fuscus,Leptodactylus furnarius,Leptodactylus labyrinthicus,Leptodactylus latrans,Leptodactylus mystaceus,Leptodactylus mystacinus,Leptodactylus podicipinus,Odontophrynus cultripes,Pseudopaludicola atragula,Physalaemus centralis,Physalaemus cuvieri,Phyllomedusa distincta,Physalaemus marmoratus,Pseudopaludicola mystacalis,Physalaemus nattereri,Pseudis platensis,Pseudopaludicola ternetzi,Physalaemus atlanticus,Rhinella ornata,Rhinella schineideri,Scinax alter,Sinax argyreornatus,Scinax berthae,Scinax fuscovarius,Scinax fuscomarginatus,Scinax hayii,Scinax littoralis,Scinax perereca,Scinax perpusillus,Scinax similis,Scinax trapicheiroi,Scinax tymbamirim,Trachycephalus mesophaeus,Trachycephalus venulosus,,,,,,,,,,,,,,,
UBAPI14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Ubatuba,1,1.15,0.18,-23.35557,-44.81578,3,1,1,1,0,3,100,3,DRF
UBAPI15,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Ubatuba,0,48.82,0.3,-23.34592,-44.84828,3,1,1,1,0,2,74.15,2,DRF
UBAPI16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,2.22,0.8,-23.35714,-44.85075,3,1,1,1,0,3,93.6,3,DRF
UBAPI17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,25.72,0.6,-23.36403,-44.82653,3,1,1,1,0,3,95.8,3,DRF
UBAPI18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,44.46,0.56,-23.36328,-44.82142,3,1,1,1,0,3,95.3,3,DRF
UBAPI19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,59.21,0.14,-23.35825,-44.81722,3,1,1,1,0,3,86.1,3,DRF
UBAPI20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,41.17,0.86,-23.37694,-44.81853,3,1,1,1,0,3,91.9,3,DRF
UBAPI21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ubatuba,0,25.62,0.22,-23.36281,-44.82492,3,1,1,1,0,3,97.5,3,DRF
UBAPI22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,16.63,0.75,-23.35381,-44.81492,3,1,1,1,0,3,96.1,3,DRF
UBAPI23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,Ubatuba,0,95.53,0.4,-23.35882,-44.83345,3,1,1,0,40,0,0,0,DRF
