,Aeu,Bab,Bal,Bfa,Bhy,Blu,Bra,Bse,Cal,Cca,Dbe,Dli,Del,Dgi,Dmc,Dmi,Dmu,Dna,Dwe,Eov,Esp1,Esp2,Ila,Lfs,Lfu,Llb,Llt,Lme,Lmy,Lpo,Ocu,Pat,Pce,Pcu,Pdi,Pma,Pmy,Pna,Ppl,Pte,Ptt,Ror,Rsc,Sal,Sar,Sbe,Sfs,Sfu,Sha,Sli,Spe,Spr,Ssi,Str,Sty,Tme,Tve,locality,hydroperiod,area,depth,lat,long,nvt,arbust_veg,arbor_veg,position_bi,dist_to_forest,position,canopy_cover,canopy_cover_cat,ecoregion
species_names,Aplastodiscus eugenioi,Boana albomarginata,Boana albopunctata,Boana Faber,Bokermannohyla hylax,Boana lundii,Boana raniceps,Boana semilineata,Chiasmocleis albopunctata,Chiasmocleis carvalhoi,Dendropsophus berthalutzae,Dendropsophus elianeae,Dendropsophus elegans,Dendropsophus giesleri,Dendropsophus microps,Dendropsophus minutus,Dermatonotus muelleri,Dendropsophus nanus,Dendropsophus Werneri,Elachistocleis ovalis,Elachistocleis sp1,Elachistocleis sp2,Itapotihyla langsdorffii,Leptodactylus fuscus,Leptodactylus furnarius,Leptodactylus labyrinthicus,Leptodactylus latrans,Leptodactylus mystaceus,Leptodactylus mystacinus,Leptodactylus podicipinus,Odontophrynus cultripes,Pseudopaludicola atragula,Physalaemus centralis,Physalaemus cuvieri,Phyllomedusa distincta,Physalaemus marmoratus,Pseudopaludicola mystacalis,Physalaemus nattereri,Pseudis platensis,Pseudopaludicola ternetzi,Physalaemus atlanticus,Rhinella ornata,Rhinella schineideri,Scinax alter,Sinax argyreornatus,Scinax berthae,Scinax fuscovarius,Scinax fuscomarginatus,Scinax hayii,Scinax littoralis,Scinax perereca,Scinax perpusillus,Scinax similis,Scinax trapicheiroi,Scinax tymbamirim,Trachycephalus mesophaeus,Trachycephalus venulosus,,,,,,,,,,,,,,,
MD4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Morro do Diabo,0,900,1.5,-22.545472,-52.234139,2,1,0,0,30,0,0,0,SSF
MD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Morro do Diabo,0,300,0.5,-22.617278,-52.167056,2,1,0,1,0,3,100,3,SSF
MD6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Morro do Diabo,0,100,0.4,-22.618556,-52.168306,2,1,0,0,36,0,0,0,SSF
MD7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Morro do Diabo,0,3500,0.4,-22.619583,-52.1655,3,1,1,1,0,3,90,3,SSF
MD8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Morro do Diabo,0,702,0.48,-22.618833,-52.167194,3,1,1,0,30,0,0,0,SSF
JA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,EE do Jataí,0,4,0.05,-21.578268,-47.78644,1,0,0,0,143,0,1,0,SSF
JA2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EE do Jataí,0,1833,0.85,-21.579087,-47.787861,2,1,0,0,68,0,1,0,SSF
JA3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,EE do Jataí,0,20,0.1,-21.579659,-47.786612,2,1,0,0,214,0,14,0,SSF
JA4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,EE do Jataí,0,32,0.3,-21.578585,-47.786581,3,1,1,0,145,0,38,1,SSF
JA5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,EE do Jataí,0,20,0.1,-21.577909,-47.786321,1,0,0,0,123,0,1,0,SSF
JA6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,EE do Jataí,0,18,0.1,-21.577437,-47.786045,2,1,0,0,135,0,1,0,SSF
JA7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EE do Jataí,1,900,2.4,-21.566565,-47.725886,3,1,1,0,7,1,23,0,SSF
JA8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EE do Jataí,1,407,1.6,-21.563763,-47.742999,3,1,1,1,0,2,97,3,SSF
JA9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EE do Jataí,1,160,0.4,-21.584833,-47.764826,3,1,1,1,0,3,98,3,SSF
JA10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EE do Jataí,1,557,0.55,-21.585556,-47.764639,3,1,1,1,0,3,100,3,SSF
ITAJU01,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,Itanhaem,0,133.25,0.27,-24.198595,-46.939366,3,1,1,0,0,1,0,0,DRF
ITAJU02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,0,4592.25,0.4,-24.217339,-46.89458,2,1,0,0,0,0,0,0,DRF
ITAJU03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,1,3242.05,1.5,-24.224921,-46.894427,3,1,1,0,0,0,0,0,DRF
ITAJU04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,0,58.88,0.45,-24.234145,-46.92644,2,1,0,1,0,3,80.95958201,3,DRF
ITAJU05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Itanhaem,0,300.03,0.25,-24.240678,-46.914366,3,1,1,0,0,0,0,0,DRF
ITAJU06,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,0,53.44,0.55,-24.241252,-46.93139,2,1,0,0,0,1,51.47524607,2,DRF
ITAJU07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,1,2449.2,2,-24.246312,-46.930998,3,1,1,0,0,1,0,0,DRF
ITAJU08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,1,92.05,1.6,-24.232553,-46.92647,3,1,1,0,0,1,69.80666235,2,DRF
ITAJU09,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Itanhaem,0,62.89,0.5,-24.234971,-46.922141,3,1,1,0,0,1,63.50592115,2,DRF
UBAPI01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Ubatuba,0,1962.5,0.5,-23.352251,-44.853323,3,1,1,1,0,2,40.34385093,1,DRF
UBAPI02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,1,914.21,1.3,-23.360191,-44.84979,3,1,1,1,0,2,57.97461027,2,DRF
UBAPI03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,Ubatuba,1,72.2,0.6,-23.358851,-44.850707,3,1,1,0,0,1,69.32572699,2,DRF
UBAPI04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,0,45.92,0.1,-23.359328,-44.832698,3,1,1,0,0,0,0,0,DRF
UBAPI05,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ubatuba,1,209.6,0.6,-23.35632,-44.826592,3,1,1,1,0,3,72.20452632,2,DRF
UBAPI06,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Ubatuba,1,2430.36,2,-23.344754,-44.845267,3,1,1,0,0,1,36.984044,1,DRF
UBAPI07,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Ubatuba,1,3140,0.5,-23.364441,-44.832404,3,1,1,0,0,0,0,0,DRF
UBAPI08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Ubatuba,0,628,0.25,-23.356448,-44.853643,3,1,1,1,0,3,82.11696202,3,DRF
UBAPI09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Ubatuba,0,9.61,0.2,-23.365363,-44.832615,3,1,1,1,0,3,93.44694778,3,DRF
UBAPI10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubatuba,1,66803.5,2,-23.331227,-44.940041,3,1,1,0,90,0,0,0,DRF
ITAJU10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,Itanhaem,0,1610.43,1,-24.444422,-47.090305,3,1,1,0,0,1,64.72864446,2,DRF
ITAJU11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,Itanhaem,0,354.47,0.8,-24.462061,-47.110445,3,1,1,0,0,1,74.15157832,2,DRF
ITAJU12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,1,557.35,4,-24.474673,-47.126557,3,1,1,0,0,1,0,0,DRF
ITAJU16,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,1,894.9,0.95,-24.533849,-47.203927,3,1,1,0,0,1,0,0,DRF
ITAJU14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Itanhaem,0,124.72,1.5,-24.592698,-47.311812,3,1,1,1,0,2,68.870909,2,DRF
